date,security_return,benchmark_return
2025-01-02,-0.002100000000,-0.002800000000
2025-01-03,-0.002135000000,-0.002100000000
2025-01-06,-0.001930000000,-0.001400000000
2025-01-07,-0.001485000000,-0.000700000000
2025-01-08,-0.000800000000,0.000000000000
2025-01-09,0.000125000000,0.000700000000
2025-01-10,0.001290000000,0.001400000000
2025-01-13,0.002695000000,0.002100000000
2025-01-14,0.004340000000,0.002800000000
2025-01-15,0.006225000000,0.003500000000
2025-01-16,-0.001825000000,-0.003500000000
2025-01-17,-0.002100000000,-0.002800000000
2025-01-20,-0.002135000000,-0.002100000000
2025-01-21,-0.001930000000,-0.001400000000
2025-01-22,-0.001485000000,-0.000700000000
2025-01-23,-0.000800000000,0.000000000000
2025-01-24,0.000125000000,0.000700000000
2025-01-27,0.001290000000,0.001400000000
2025-01-28,0.002695000000,0.002100000000
2025-01-29,0.004340000000,0.002800000000
2025-01-30,0.006225000000,0.003500000000
2025-01-31,-0.001825000000,-0.003500000000
2025-02-03,-0.002100000000,-0.002800000000
2025-02-04,-0.002135000000,-0.002100000000
2025-02-05,-0.001930000000,-0.001400000000
2025-02-06,-0.001485000000,-0.000700000000
2025-02-07,-0.000800000000,0.000000000000
2025-02-10,0.000125000000,0.000700000000
2025-02-11,0.001290000000,0.001400000000
2025-02-12,0.002695000000,0.002100000000
2025-02-13,0.004340000000,0.002800000000
2025-02-14,0.006225000000,0.003500000000
2025-02-17,-0.001825000000,-0.003500000000
2025-02-18,-0.002100000000,-0.002800000000
2025-02-19,-0.002135000000,-0.002100000000
2025-02-20,-0.001930000000,-0.001400000000
2025-02-21,-0.001485000000,-0.000700000000
2025-02-24,-0.000800000000,0.000000000000
2025-02-25,0.000125000000,0.000700000000
2025-02-26,0.001290000000,0.001400000000
2025-02-27,0.002695000000,0.002100000000
2025-02-28,0.004340000000,0.002800000000
2025-03-03,0.006225000000,0.003500000000
2025-03-04,-0.001825000000,-0.003500000000
2025-03-05,-0.002100000000,-0.002800000000
2025-03-06,-0.002135000000,-0.002100000000
2025-03-07,-0.001930000000,-0.001400000000
2025-03-10,-0.001485000000,-0.000700000000
2025-03-11,-0.000800000000,0.000000000000
2025-03-12,0.000125000000,0.000700000000
2025-03-13,0.001290000000,0.001400000000
2025-03-14,0.002695000000,0.002100000000
2025-03-17,0.004340000000,0.002800000000
2025-03-18,0.006225000000,0.003500000000
2025-03-19,-0.001825000000,-0.003500000000
2025-03-20,-0.002100000000,-0.002800000000
2025-03-21,-0.002135000000,-0.002100000000
2025-03-24,-0.001930000000,-0.001400000000
2025-03-25,-0.001485000000,-0.000700000000
2025-03-26,-0.000800000000,0.000000000000
2025-03-27,0.000125000000,0.000700000000
2025-03-28,0.001290000000,0.001400000000
2025-03-31,0.002695000000,0.002100000000
2025-04-01,0.004340000000,0.002800000000
2025-04-02,0.006225000000,0.003500000000
2025-04-03,-0.001825000000,-0.003500000000
2025-04-04,-0.002100000000,-0.002800000000
2025-04-07,-0.002135000000,-0.002100000000
